reftime,day,timeofday,weekday,activityScore_hour01,activityScore_hour02,activityScore_hour03,activityScore_hour04,activityScore_hour05,activityScore_hour06,activityScore_hour07,activityScore_hour08,activityScore_hour09,activityScore_hour10,activityScore_hour11,activityScore_hour12,activityScore_hour13,activityScore_hour14,activityScore_hour15,activityScore_hour16,activityScore_hour17,activityScore_hour18,activityScore_hour19,activityScore_hour20,activityScore_hour21,activityScore_hour22,activityScore_hour23,activityScore_hour24
1727395200000,  1,00:00:00,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1727481600000,  2,00:00:00,1,0,0,0,0,0,0,0,0,0,7,6,23,17,10,1,14,4,16,16,2,8,10,8,12
1727568000000,  3,00:00:00,2,14,0,0,0,0,0,34,28,28,0,19,11,3,7,2,2,11,18,15,11,0,20,2,0
1727654400000,  4,00:00:00,3,0,0,0,0,0,0,0,0,0,0,4,0,2,21,6,6,31,3,4,10,19,11,0,0
1727740800000,  5,00:00:00,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,11,10,1,0,0,2,0,7,0
1727827200000,  6,00:00:00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,15,10,21,7,6,20,1
1727913600000,  7,00:00:00,6,1,0,0,0,0,0,0,6,29,20,0,0,20,3,2,21,12,5,0,23,4,13,18,0
1728000000000,  8,00:00:00,7,0,0,0,0,0,0,0,0,2,0,3,6,5,17,0,0,0,14,12,2,13,45,33,4
1728086400000,  9,00:00:00,1,0,0,0,0,0,0,2,0,1,2,9,7,15,0,2,26,34,0,10,4,10,14,2,2
1728172800000, 10,00:00:00,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,11,31,14,5,11,16
1728259200000, 11,00:00:00,3,0,0,0,0,0,0,3,0,16,14,17,22,30,39,25,4,7,15,4,6,18,3,7,0
1728345600000, 12,00:00:00,4,0,0,0,0,0,0,3,12,13,7,4,9,6,2,6,0,17,3,19,22,27,4,6,16
1728432000000, 13,00:00:00,5,0,0,0,0,0,0,0,0,0,2,8,0,11,9,6,6,2,8,17,17,5,25,22,0
1728518400000, 14,00:00:00,6,3,4,0,0,0,0,0,21,23,41,13,0,19,1,5,26,20,1,0,0,0,0,0,0
1728604800000, 15,00:00:00,7,0,0,0,0,0,0,0,13,12,19,2,5,0,1,12,21,5,13,0,0,0,0,0,0
1728691200000, 16,00:00:00,1,0,0,0,0,0,0,0,0,0,11,1,0,10,0,2,6,15,7,0,0,0,0,0,10
1728777600000, 17,00:00:00,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,4,5,2
1728864000000, 18,00:00:00,3,10,2,0,0,0,0,0,0,0,0,3,4,32,33,2,33,24,8,21,43,14,17,0,0
1728950400000, 19,00:00:00,4,0,0,0,0,0,0,2,11,4,33,6,18,16,4,0,0,0,25,15,4,0,3,4,2
1729036800000, 20,00:00:00,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729123200000, 21,00:00:00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,7,30,21
1729209600000, 22,00:00:00,7,11,0,0,0,0,0,0,0,0,0,4,0,13,6,20,6,0,0,29,30,0,25,10,0
1729296000000, 23,00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729382400000, 24,00:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,39,26,11,15,5,22
1729468800000, 25,00:00:00,3,0,0,0,0,0,0,0,0,0,0,1,8,19,8,29,22,29,14,34,20,2,25,18,0
1729555200000, 26,00:00:00,4,1,2,0,0,0,0,0,15,40,5,16,17,10,9,0,26,14,3,18,11,3,11,22,2
1729641600000, 27,00:00:00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,8,5,25,1,0
1729728000000, 28,00:00:00,6,0,14,0,0,0,0,0,6,37,25,7,0,0,3,2,5,35,25,29,0,16,18,5,7
1729814400000, 29,00:00:00,7,0,10,0,0,0,0,0,0,0,3,16,4,20,15,4,0,6,21,10,9,13,4,5,19
1729900800000, 30,00:00:00,1,18,0,0,0,0,0,0,5,25,16,12,29,8,10,11,45,24,24,19,0,3,0,11,17
1729987200000, 31,00:00:00,2,9,0,0,3,16,1,0,0,0,0,2,21,14,14,9,9,0,0,0,0,0,0,0,0
1730073600000, 32,00:00:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,12,35,9,0
1730160000000, 33,00:00:00,4,0,0,0,0,0,0,0,0,0,6,19,24,39,25,17,46,0,18,15,14,16,21,3,0
1730246400000, 34,00:00:00,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1730332800000, 35,00:00:00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1730419200000, 36,00:00:00,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1730505600000, 37,00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
