reftime,day,timeofday,weekday,activityScore_hour01,activityScore_hour02,activityScore_hour03,activityScore_hour04,activityScore_hour05,activityScore_hour06,activityScore_hour07,activityScore_hour08,activityScore_hour09,activityScore_hour10,activityScore_hour11,activityScore_hour12,activityScore_hour13,activityScore_hour14,activityScore_hour15,activityScore_hour16,activityScore_hour17,activityScore_hour18,activityScore_hour19,activityScore_hour20,activityScore_hour21,activityScore_hour22,activityScore_hour23,activityScore_hour24
1.7274E+12,1,0:00:00,7,,,,,,,,,,,,,,,,,,,,,,,,
1.72748E+12,2,0:00:00,1,,,,,,,,,,4.4,4.07,4.18,3.8,4.5,4.58,4.07,3.8,4.7,5.95,2.38,4.28,4.83,4.98,4.6
1.72757E+12,3,0:00:00,2,3.82,2.05,1.93,1.83,1.93,1.92,4.9,5.53,5.78,6,5.87,4.85,5.28,4.28,4.33,3.1,3.95,5.03,4.57,4.68,2.32,3.52,2.2,1.82
1.72765E+12,4,0:00:00,3,2.12,2.03,1.83,1.92,1.87,1.83,1.75,1.78,2.08,2.15,3.38,5.12,4.4,4.5,4.5,2.95,3.95,4.88,4.72,4.68,4.87,5.13,,
1.72774E+12,5,0:00:00,4,,,,,,,,,,,,,4.3,4.03,4,3.57,4.03,4.58,3.52,2.78,2.65,3.17,4.17,2.55
1.72783E+12,6,0:00:00,5,2.67,2.25,1,,,,,,,,,,,,5,4.65,3.02,3.97,4.2,5.37,4.05,4,4.47,4.38
1.72791E+12,7,0:00:00,6,3.85,1.92,1.8,1.82,1.65,1.77,1.82,4.15,4.85,4.15,2.65,2.82,4.05,3.38,3.32,5.17,4.93,3.48,2.18,4.85,4.05,4.52,3.42,1.92
1.728E+12,8,0:00:00,7,1.77,1.8,1.68,1.62,1.65,1.9,1.68,1.88,2.3,1.9,2.17,3.83,4.12,4.2,3.43,1.84,1.78,4.82,5.17,4.03,3.48,4.1,4.07,3.67
1.72809E+12,9,0:00:00,1,3.43,3.23,3.12,3.35,3.15,3.1,3.05,2.35,2.55,3.22,3.55,3.03,3.05,2.73,3.87,4.63,4.91,,5.48,4.28,4.83,4.93,4.4,5.13
1.72817E+12,10,0:00:00,2,5.03,5.42,3.28,2.65,2.55,,,,,,,,,,,,5.26,5.4,5.58,5.18,4.6,4.25,4.93,5.23
1.72826E+12,11,0:00:00,3,2.9,2.03,1.95,1.85,1.9,1.87,2.23,3.82,3.92,3.97,3.8,4.53,5.55,5.58,4.48,2.85,2.55,3.62,5.07,2.53,3.17,4.8,3.38,3.22
1.72835E+12,12,0:00:00,4,2.96,2.93,2.98,2.67,2.75,2.72,3.38,3.93,3.4,3.2,4,3.95,3.57,3.6,3.3,2.3,4.03,3.42,4.22,4.45,3.77,4.1,3.54,2.88
1.72843E+12,13,0:00:00,5,1.84,1.75,1.59,1.6,1.6,1.76,1.75,1.67,1.75,1.73,2.97,3.07,2.42,3.3,3.7,3.7,3.35,3.68,4.25,4.58,4.08,4.77,4.65,2.08
1.72852E+12,14,0:00:00,6,3.02,2.27,1.83,1.85,2.03,1.95,1.73,4.85,4.88,4.77,3.2,3.12,4.67,4.03,4.15,5.3,5.15,4.55,,,,,,
1.7286E+12,15,0:00:00,7,,,,,,,,5.24,3.57,4.95,4.7,5,4.83,5.17,4.42,5.23,4.83,4.68,5.02,4.38,,,,
1.72869E+12,16,0:00:00,1,,,,,,,,,,5.07,4.78,4.33,4.77,4.77,4.15,3.87,5.05,3.95,3.97,3.02,2.18,2.18,1.86,3.25
1.72878E+12,17,0:00:00,2,4.75,,,,,,,,,,,,,,,,,,5.38,4.18,3.95,4.07,3.9,4.67
1.72886E+12,18,0:00:00,3,4.35,3.43,3.05,1.7,1.8,1.7,1.85,1.62,1.97,3.15,3.25,4.68,5.02,4.62,4.53,5.18,4.85,4.47,4.32,4.93,3.6,2.6,1.68,1.7
1.72895E+12,19,0:00:00,4,1.77,1.87,1.67,1.9,1.7,1.78,4.3,4.9,4.47,4.65,4.73,4.97,4.57,,,,,5.29,4.83,3.47,3.18,3.33,3.38,4.45
1.72904E+12,20,0:00:00,5,3.97,2.28,2,2,2.03,2.3,2.38,,,,,,,,,,,,,,,,,
1.72912E+12,21,0:00:00,6,,,,,,,,,,,,,,,,,,,,4.45,2.45,3.52,5.38,4.47
1.72921E+12,22,0:00:00,7,3.67,1.92,1.98,2.05,2.07,2.02,2.37,2.75,2.5,2.52,3.22,3.97,4.13,4.15,5.22,4.7,,,5.43,4.97,5.43,5.48,5.31,
1.7293E+12,23,0:00:00,1,,,,,,,,,,,,,,,,,,,,,,,,
1.72938E+12,24,0:00:00,2,,,,,,,,,,,,,,,,,4.43,4.97,4.7,4.92,4.25,4.58,4.32,5.25
1.72947E+12,25,0:00:00,3,3.87,3.77,2.08,2.12,2.13,2.29,,,,,5,4.08,4.87,5.1,4.88,4.88,5.22,3.98,4.85,4.72,3.27,5.6,4.03,1.67
1.72956E+12,26,0:00:00,4,3.73,3.33,1.73,1.83,1.83,1.72,1.82,3.6,5.25,5.07,3.77,3.85,4.05,4.35,3.98,5.02,5.07,5.32,5.32,4.62,3.35,3.63,4.5,4
1.72964E+12,27,0:00:00,5,3.32,2.02,1.77,1.82,2.02,2.1,1.78,2.03,2.08,,,,,,,,,,4.85,4.13,4.07,4.7,4.77,4.5
1.72973E+12,28,0:00:00,6,,4.43,1.93,1.77,1.95,1.93,1.75,3.2,4.83,4.77,2.97,3.1,2.78,3,3.08,2.95,4.75,4.9,4.98,3.15,4.97,5.57,4.13,3.95
1.72981E+12,29,0:00:00,7,3.92,3.88,2.7,2.7,2.53,2.73,2.82,2.83,2.92,3.37,5.67,4,4.13,4.28,4.03,4.03,3.2,3.52,3.38,3.9,3.8,4.07,4.03,4.22
1.7299E+12,30,0:00:00,1,4.03,2.47,2.27,2.4,2.37,2.45,2.78,2.98,4.8,4.88,4.13,4.17,4.17,4.28,3.93,5.75,5.2,4.67,4.37,2.07,3.02,5.22,5.43,5
1.72999E+12,31,0:00:00,2,5.2,3.63,2.71,5,4.83,2.92,2.5,2.63,2.73,2.82,3.1,4.6,4.43,4.33,4.6,4.89,,,,,,,,
1.73007E+12,32,0:00:00,3,,,,,,,,,,,,,,,,,,,4.71,4.72,4.75,5.02,4.66,
1.73016E+12,33,0:00:00,4,,,,,,,,,,4.93,4.93,5.35,5.02,4.67,5.3,5.47,4.53,5.28,5.37,4.07,4.05,3.75,2.32,2.25
1.73025E+12,34,0:00:00,5,1.75,1.77,1.62,1.58,1.57,1.88,1.65,1.72,2.38,3.49,,,,,,,,,,,,,,
1.73033E+12,35,0:00:00,6,,,,,,,,,,,,,,,,,,,,,,,,
1.73042E+12,36,0:00:00,7,,,,,,,,,,,,,,,,,,,,,,,,
1.73051E+12,37,0:00:00,1,,,,,,,,,,,,,,,,,,,,,,,,
1.73059E+12,38,0:00:00,2,,,,,,,,,,,,,,,,,,,,,,,,
1.73068E+12,39,0:00:00,3,,,,,,,,,,,,,,,,,,,,,,,,
1.73076E+12,40,0:00:00,4,,,,,,,,,,,,,,,,,,,,,,,,
1.73085E+12,41,0:00:00,5,,,,,,,,,,,4.53,4.98,4.12,2.27,1.92,3.15,3.25,5.38,3.88,4.78,4.53,4.5,3.9,2.8
1.73094E+12,42,0:00:00,6,2.13,2.15,2.32,2.1,2.27,2.23,3.03,5.13,5.13,4.63,3.17,3.02,4.27,4.28,5,5,5.03,4.57,4.2,4.67,4.62,3.87,3.38,2
1.73102E+12,43,0:00:00,7,2.02,2.03,2.05,2.22,2.02,2.05,2.13,2.2,2.43,2.23,2.93,2.23,4.9,4.5,3.97,3.8,4.47,4.23,5.82,5.27,3.83,2.58,2.98,2.93
1.73111E+12,44,0:00:00,1,2.78,2.85,2.6,2.67,2.7,2.8,3,2.9,3.05,3.55,2.87,3.1,2.93,3.58,3.72,3.77,4.13,3.97,4.63,4.33,4.1,4.28,4.23,4.73
1.7312E+12,45,0:00:00,2,4.33,3.57,2.55,2.48,2.48,2.62,2.78,2.67,2.63,2.78,2.9,3.57,4.62,4.42,5.22,5.75,4.6,5.25,3.82,3.18,2.97,2.88,2.45,2.42
1.73128E+12,46,0:00:00,3,2.23,2.07,2.1,2.15,2.15,,,,,,,,,,,,,5.31,5.47,5.83,4.83,4.05,3.83,4.3
1.73137E+12,47,0:00:00,4,3.6,2.07,2,2.03,2.1,2.07,2.18,2.28,2.47,2.25,3.07,4.02,4.35,4.05,4.33,4.23,4.05,4.03,3.95,2.85,4.75,3.08,2.92,3.6
1.73146E+12,48,0:00:00,5,4.58,4.58,4.35,4.27,3.18,2.03,1.82,3.1,3.63,3.52,3.82,3.87,4,4.03,4.05,4.05,4.97,3.87,3.02,5.28,4.92,4.88,5.53,
1.73154E+12,49,0:00:00,6,,,,,,,,,,,,,,,,,,,,4.61,3.9,4,4.45,4.18
1.73163E+12,50,0:00:00,7,1.92,2,2.11,,,,,4.65,5.1,4.28,4.17,4.12,4.6,4.15,4.3,4.37,5.05,5.25,3.52,1.75,1.98,,4.43,4
1.73172E+12,51,0:00:00,1,2.35,1.95,2.05,2.15,2,2.2,2.03,5.33,5.18,4.12,4.15,4.08,4.52,4.37,4.13,4.37,4.93,4.95,5.37,3.45,4.87,4.75,3.08,4.97
1.7318E+12,52,0:00:00,2,4.87,5.07,2.55,2.63,2.4,2.32,2.5,2.68,2.6,2.53,2.75,2.73,3.62,3.97,2.8,2.77,3.67,4.55,5.43,4.48,3.63,4.23,4.6,4.08
1.73189E+12,53,0:00:00,3,4.92,1.95,2.33,2.1,2.08,2.22,2.08,2.33,2.23,2.58,4.1,4.32,4.42,3.13,4.32,4.63,4.95,4.5,3.87,3.75,2.55,2.67,,
1.73197E+12,54,0:00:00,4,,,,,,,,5.56,5.13,4.65,2.68,4.48,4.53,4.5,4.23,2.63,4.62,4.9,5.78,,,,,
1.73206E+12,55,0:00:00,5,,,,,,,,,,,,,,,,,,5.71,4.9,2.35,1.88,3.2,4.22,4.05
1.73215E+12,56,0:00:00,6,2.28,1.85,2.03,1.98,2.07,2.12,1.87,1.95,2.08,2.85,2.58,2.38,4.57,3.78,3.08,4,3.72,3.32,3.03,3.53,4.17,5.3,4.43,3.67
1.73223E+12,57,0:00:00,7,2.43,2.23,1.98,2.12,1.82,1.97,2.05,2.17,2.25,3.53,3.38,3.58,4.77,4.73,3.92,3.45,4.1,3.98,3.83,3.8,2.98,3.87,3.33,3.68
1.73232E+12,58,0:00:00,1,3.28,3.02,2.83,2.83,2.85,2.97,2.98,2.97,3,3.3,4.02,4.12,4.17,3.98,4.12,4.1,4.13,3.75,4.38,2.47,5.08,4.4,4.73,4.62
1.73241E+12,59,0:00:00,2,5.02,4.48,3.48,2.05,1.92,2.18,2.2,2.27,2.43,2.43,2.58,4.07,4.48,5.23,5.32,5.25,5.07,5.52,5.32,5.25,4.02,4.02,3.77,4.22
1.73249E+12,60,0:00:00,3,4.25,4.37,3.27,2.37,2.22,2.1,2.17,2.6,2.72,3.15,4.07,3.2,2.93,4.35,4.78,5.12,5.28,4.47,5.53,4.95,5.4,3.98,3.32,2.12
1.73258E+12,61,0:00:00,4,2,2.07,1.9,1.85,1.82,1.78,1.93,3.65,5.13,5.6,4.47,3.5,4.1,3.67,3.28,4.05,4,5.17,4.8,5.33,3.52,2.23,3.85,2.35
1.73267E+12,62,0:00:00,5,2.1,1.93,2,2.03,2,2.08,2.02,2.33,2.28,3.45,4.05,4.2,4.08,3.97,3.93,4,,,,,,,,
1.73275E+12,63,0:00:00,6,,,,,,,,,,,,,,,,,,,,,,,,
1.73284E+12,64,0:00:00,7,,,,,,,,,,,,,,,,,,,,,,,,
1.73292E+12,65,0:00:00,1,,,,,,,,,,,,,,,,,,,,,,,,
1.73301E+12,66,0:00:00,2,,,,,,,,,,,,,,,,,,,,,,,,
1.7331E+12,67,0:00:00,3,,,,,,,,,,,,,,,,,,,,,,,,
1.73318E+12,68,0:00:00,4,,,,,,,,,,,,,,,,,,,,,,,,
1.73327E+12,69,0:00:00,5,,,,,,,,,,,,,,,,,,,,,,,,
1.73336E+12,70,0:00:00,6,,,,,,,,,,,,,,,,,,,,,,,,
1.73344E+12,71,0:00:00,7,,,,,,,,,,,,,,,,,,,,,,,,
1.73353E+12,72,0:00:00,1,,,,,,,,,,,,,,,,,,,,,,,,
1.73362E+12,73,0:00:00,2,,,,,,,,,,,,,,,,,,,,,,,,
1.7337E+12,74,0:00:00,3,,,,,,,,,,,,,,,,,,,,,,,,
1.73379E+12,75,0:00:00,4,,,,,,,,,,,,,,,,,,,,,,,,
1.73388E+12,76,0:00:00,5,,,,,,,,,,,,,,,,,,,,,,,,
1.73396E+12,77,0:00:00,6,,,,,,,,,,,,,,,,,,,,,,,,
1.73405E+12,78,0:00:00,7,,,,,,,,,,,,,,,,,,,,,,,,
1.73413E+12,79,0:00:00,1,,,,,,,,,,,,4.38,3,2.35,2.12,2.55,3.95,3.43,3.88,3.45,4.48,4.57,4.7,3.58
1.73422E+12,80,0:00:00,2,3.13,2.95,2.88,2.88,2.85,2.87,2.97,2.95,3,3,3,3.27,4.87,4.38,3.33,4.6,5.2,5.3,4.97,4.3,4.25,4.48,4.73,3.63
1.73431E+12,81,0:00:00,3,2.03,2.3,2.65,2.47,2.47,2.53,2.37,2.58,2.73,2.67,2.7,2.93,3.7,3.93,3.88,3.75,3.15,5.3,4.73,4.92,4.27,2.58,3.95,2.78
1.73439E+12,82,0:00:00,4,2.72,3,3,3,3,3,3,4.18,5.07,4.42,2.63,3.48,4.17,4.22,3.87,3.98,5.33,5.17,5.03,4.62,3.97,3,1.83,2.5
