reftime,day,timeofday,weekday,accelPhavail24,accelPhavail
1727395200000,  1,00:00:00,7,0,0
1727481600000,  2,00:00:00,1,0,850
1727568000000,  3,00:00:00,2,1,1440
1727654400000,  4,00:00:00,3,1,1284
1727740800000,  5,00:00:00,4,0,693
1727827200000,  6,00:00:00,5,0,664
1727913600000,  7,00:00:00,6,1,1440
1728000000000,  8,00:00:00,7,1,1422
1728086400000,  9,00:00:00,1,1,1332
1728172800000, 10,00:00:00,2,0,701
1728259200000, 11,00:00:00,3,1,1440
1728345600000, 12,00:00:00,4,1,1400
1728432000000, 13,00:00:00,5,1,1402
1728518400000, 14,00:00:00,6,1,1051
1728604800000, 15,00:00:00,7,0,650
1728691200000, 16,00:00:00,1,0,848
1728777600000, 17,00:00:00,2,0,325
1728864000000, 18,00:00:00,3,1,1440
1728950400000, 19,00:00:00,4,0,1162
1729036800000, 20,00:00:00,5,0,373
1729123200000, 21,00:00:00,6,0,284
1729209600000, 22,00:00:00,7,0,1111
1729296000000, 23,00:00:00,1,0,0
1729382400000, 24,00:00:00,2,0,429
1729468800000, 25,00:00:00,3,0,1089
1729555200000, 26,00:00:00,4,1,1440
1729641600000, 27,00:00:00,5,0,790
1729728000000, 28,00:00:00,6,0,1373
1729814400000, 29,00:00:00,7,1,1440
1729900800000, 30,00:00:00,1,1,1440
1729987200000, 31,00:00:00,2,1,868
1730073600000, 32,00:00:00,3,0,247
1730160000000, 33,00:00:00,4,0,876
1730246400000, 34,00:00:00,5,1,579
1730332800000, 35,00:00:00,6,0,0
1730419200000, 36,00:00:00,7,0,0
1730505600000, 37,00:00:00,1,0,0
1730592000000, 38,00:00:00,2,0,0
1730678400000, 39,00:00:00,3,0,0
1730764800000, 40,00:00:00,4,0,0
1730851200000, 41,00:00:00,5,0,795
1730937600000, 42,00:00:00,6,1,1440
1731024000000, 43,00:00:00,7,1,1380
1731110400000, 44,00:00:00,1,1,1440
1731196800000, 45,00:00:00,2,1,1440
1731283200000, 46,00:00:00,3,0,689
1731369600000, 47,00:00:00,4,1,1440
1731456000000, 48,00:00:00,5,1,1337
1731542400000, 49,00:00:00,6,0,281
1731628800000, 50,00:00:00,7,0,1042
1731715200000, 51,00:00:00,1,1,1440
1731801600000, 52,00:00:00,2,1,1440
1731888000000, 53,00:00:00,3,1,1308
1731974400000, 54,00:00:00,4,0,634
1732060800000, 55,00:00:00,5,0,398
1732147200000, 56,00:00:00,6,1,1440
1732233600000, 57,00:00:00,7,1,1396
1732320000000, 58,00:00:00,1,1,1440
1732406400000, 59,00:00:00,2,1,1440
1732492800000, 60,00:00:00,3,1,1440
1732579200000, 61,00:00:00,4,1,1440
1732665600000, 62,00:00:00,5,0,941
1732752000000, 63,00:00:00,6,0,0
1732838400000, 64,00:00:00,7,0,0
1732924800000, 65,00:00:00,1,0,0
1733011200000, 66,00:00:00,2,0,0
1733097600000, 67,00:00:00,3,0,0
1733184000000, 68,00:00:00,4,0,0
1733270400000, 69,00:00:00,5,0,0
1733356800000, 70,00:00:00,6,0,0
1733443200000, 71,00:00:00,7,0,0
1733529600000, 72,00:00:00,1,0,0
1733616000000, 73,00:00:00,2,0,0
1733702400000, 74,00:00:00,3,0,0
1733788800000, 75,00:00:00,4,0,0
1733875200000, 76,00:00:00,5,0,0
1733961600000, 77,00:00:00,6,0,0
1734048000000, 78,00:00:00,7,0,0
1734134400000, 79,00:00:00,1,0,746
1734220800000, 80,00:00:00,2,1,1440
1734307200000, 81,00:00:00,3,1,1440
1734393600000, 82,00:00:00,4,1,1440
1734480000000, 83,00:00:00,5,1,865
1734566400000, 84,00:00:00,6,1,1440
1734652800000, 85,00:00:00,7,1,1440
1734739200000, 86,00:00:00,1,1,1403
1734825600000, 87,00:00:00,2,1,1344
1734912000000, 88,00:00:00,3,1,1440
1734998400000, 89,00:00:00,4,0,1093
1735084800000, 90,00:00:00,5,1,1440
1735171200000, 91,00:00:00,6,1,1440
1735257600000, 92,00:00:00,7,1,1440
1735344000000, 93,00:00:00,1,0,294
1735430400000, 94,00:00:00,2,0,0
1735516800000, 95,00:00:00,3,0,0
1735603200000, 96,00:00:00,4,0,0
1735689600000, 97,00:00:00,5,0,0
1735776000000, 98,00:00:00,6,0,0
1735862400000, 99,00:00:00,7,0,0
1735948800000,100,00:00:00,1,0,313
1736035200000,101,00:00:00,2,0,0
1736121600000,102,00:00:00,3,0,0
1736208000000,103,00:00:00,4,0,596
1736294400000,104,00:00:00,5,1,1074
1736380800000,105,00:00:00,6,0,474
1736467200000,106,00:00:00,7,0,350
1736553600000,107,00:00:00,1,0,1300
1736640000000,108,00:00:00,2,1,1439
1736726400000,109,00:00:00,3,1,1438
1736812800000,110,00:00:00,4,1,1174
1736899200000,111,00:00:00,5,0,1111
1736985600000,112,00:00:00,6,0,998
1737072000000,113,00:00:00,7,0,633
1737158400000,114,00:00:00,1,1,1056
1737244800000,115,00:00:00,2,0,1130
1737331200000,116,00:00:00,3,0,178
1737417600000,117,00:00:00,4,1,1420
1737504000000,118,00:00:00,5,0,946
1737590400000,119,00:00:00,6,1,1321
1737676800000,120,00:00:00,7,0,1089
1737763200000,121,00:00:00,1,0,726
1737849600000,122,00:00:00,2,1,1270
1737936000000,123,00:00:00,3,1,1347
1738022400000,124,00:00:00,4,1,1439
1738108800000,125,00:00:00,5,1,1375
